Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Chicago Bulls,Terry Taylor,32,F,23,"6' 4""",230 lbs,Austin Peay,"$2,019,706"
Chicago Bulls,Dalen Terry,25,F,21,"6' 7""",200 lbs,Arizona,"$3,350,760"
Chicago Bulls,Nikola Vucevic,9,C,32,"6' 10""",260 lbs,USC,"$18,518,519"
Chicago Bulls,Coby White,0,PG,23,"6' 5""",195 lbs,North Carolina,"$11,111,111"
Chicago Bulls,Patrick Williams,44,PF,22,"6' 7""",215 lbs,Florida State,"$9,835,881"
Cleveland Cavaliers,Jarrett Allen,31,C,25,"6' 9""",243 lbs,Texas,"$20,000,000"
Cleveland Cavaliers,Emoni Bates,21,F,19,"6' 10""",170 lbs,Eastern Michigan,--
Cleveland Cavaliers,Sharife Cooper,2,PG,22,"6' 1""",176 lbs,Auburn,--
Cleveland Cavaliers,Mamadi Diakite,21,F,26,"6' 9""",228 lbs,Virginia,--
Cleveland Cavaliers,Darius Garland,10,PG,23,"6' 1""",192 lbs,Vanderbilt,"$34,005,250"
Cleveland Cavaliers,Ty Jerome,NA,SG,26,"6' 5""",195 lbs,Virginia,"$2,439,025"
Cleveland Cavaliers,Damian Jones,15,C,28,"6' 11""",245 lbs,Vanderbilt,"$2,586,665"
Cleveland Cavaliers,Caris LeVert,3,SG,29,"6' 6""",205 lbs,Michigan,"$15,384,616"
Cleveland Cavaliers,Sam Merrill,20,SG,27,"6' 4""",205 lbs,Utah State,"$1,997,238"
Cleveland Cavaliers,Donovan Mitchell,45,SG,27,"6' 1""",215 lbs,Louisville,"$33,162,030"
Cleveland Cavaliers,Evan Mobley,4,PF,22,"6' 11""",215 lbs,USC,"$8,882,760"
Cleveland Cavaliers,Isaiah Mobley,15,F,23,"6' 8""",238 lbs,USC,--
Cleveland Cavaliers,Pete Nance,48,F,23,"6' 11""",230 lbs,North Carolina,--
Cleveland Cavaliers,Raul Neto,19,PG,31,"6' 2""",180 lbs,--,--
Cleveland Cavaliers,Georges Niang,NA,SF,30,"6' 7""",230 lbs,Iowa State,"$8,800,000"
Cleveland Cavaliers,Isaac Okoro,35,SF,22,"6' 5""",225 lbs,Auburn,"$8,920,795"
Cleveland Cavaliers,Craig Porter Jr.,40,G,23,"6' 2""",186 lbs,Wichita State,--
Cleveland Cavaliers,Justin Powell,NA,G,--,"6' 6""",197 lbs,Washington State,--
Cleveland Cavaliers,Ricky Rubio,13,PG,32,"6' 2""",190 lbs,--,"$6,146,342"
Cleveland Cavaliers,Max Strus,31,SG,27,"6' 5""",215 lbs,DePaul,"$14,487,684"
Cleveland Cavaliers,Tristan Thompson,13,C,32,"6' 9""",254 lbs,Texas,--
Cleveland Cavaliers,Dean Wade,32,PF,26,"6' 9""",228 lbs,Kansas State,"$5,709,877"
Dallas Mavericks,Greg Brown III,36,PF,22,"6' 8""",217 lbs,Texas,--
Dallas Mavericks,Seth Curry,30,SG,33,"6' 1""",190 lbs,Duke,"$4,000,000"
Dallas Mavericks,Dexter Dennis,38,G,24,"6' 5""",210 lbs,Texas A&M,--
Dallas Mavericks,Luka Doncic,77,PG,24,"6' 7""",230 lbs,--,"$40,064,220"
Dallas Mavericks,Dante Exum,0,G,28,"6' 5""",214 lbs,--,"$2,019,760"
