Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Utah Jazz,Kris Dunn,11,G,29,"6' 3""",205 lbs,Providence,"$2,586,665"
Utah Jazz,Simone Fontecchio,16,F,27,"6' 7""",209 lbs,--,"$3,044,872"
Utah Jazz,Keyonte George,NA,G,19,"6' 4""",185 lbs,Baylor,"$3,889,800"
Utah Jazz,Taylor Hendricks,NA,F,19,"6' 9""",210 lbs,UCF,"$5,569,920"
Utah Jazz,Talen Horton-Tucker,0,SG,22,"6' 4""",234 lbs,Iowa State,"$11,020,000"
Utah Jazz,Johnny Juzang,33,G,22,"6' 7""",215 lbs,UCLA,--
Utah Jazz,Walker Kessler,24,C,22,"7' 0""",245 lbs,Auburn,"$2,831,160"
Utah Jazz,Lauri Markkanen,23,PF,26,"7' 0""",240 lbs,Arizona,"$17,259,999"
Utah Jazz,Kelly Olynyk,41,PF,32,"6' 11""",240 lbs,Gonzaga,"$12,195,122"
Utah Jazz,Luka Samanic,91,F,23,"6' 10""",227 lbs,--,"$2,066,585"
Utah Jazz,Brice Sensabaugh,NA,F,19,"6' 6""",235 lbs,Ohio State,"$2,448,600"
Utah Jazz,Collin Sexton,2,PG,24,"6' 2""",190 lbs,Alabama,"$17,325,000"
Utah Jazz,Juan Toscano-Anderson,95,SF,30,"6' 6""",209 lbs,Marquette,--
Utah Jazz,Omer Yurtseven,77,C,25,"6' 11""",275 lbs,Georgetown,"$2,800,000"
Toronto Raptors,Precious Achiuwa,5,PF,24,"6' 8""",225 lbs,Memphis,"$4,379,527"
Toronto Raptors,O.G. Anunoby,3,SF,26,"6' 7""",232 lbs,Indiana,"$18,642,857"
Toronto Raptors,Scottie Barnes,4,SF,22,"6' 8""",225 lbs,Florida State,"$8,008,560"
Toronto Raptors,Will Barton,1,G,32,"6' 5""",181 lbs,Memphis,--
Toronto Raptors,Chris Boucher,25,PF,30,"6' 9""",200 lbs,Oregon,"$11,750,000"
Toronto Raptors,Gradey Dick,NA,G,19,"6' 8""",205 lbs,Kansas,"$4,536,720"
Toronto Raptors,Jeff Dowtin Jr.,20,PG,26,"6' 3""",177 lbs,Rhode Island,"$2,109,706"
Toronto Raptors,Malachi Flynn,22,PG,25,"6' 1""",175 lbs,San Diego State,"$3,873,025"
Toronto Raptors,Ron Harper Jr.,8,F,23,"6' 5""",245 lbs,Rutgers,--
Toronto Raptors,Christian Koloko,35,C,23,"7' 0""",230 lbs,Arizona,"$1,719,864"
Toronto Raptors,Jalen McDaniels,7,PF,25,"6' 9""",205 lbs,San Diego State,"$4,516,000"
Toronto Raptors,Markquis Nowell,NA,G,23,"5' 8""",160 lbs,Kansas State,--
Toronto Raptors,Jakob Poeltl,19,C,27,"7' 1""",245 lbs,Utah,"$19,500,000"
Toronto Raptors,Otto Porter Jr.,32,SF,30,"6' 8""",198 lbs,Georgetown,"$6,300,000"
Toronto Raptors,Dennis Schroder,NA,PG,30,"6' 1""",172 lbs,--,"$12,405,000"
Toronto Raptors,Pascal Siakam,43,PF,29,"6' 8""",230 lbs,New Mexico State,"$37,893,408"
Toronto Raptors,Gary Trent Jr.,33,SG,24,"6' 5""",209 lbs,Duke,"$18,560,000"
Toronto Raptors,Thaddeus Young,21,PF,35,"6' 8""",235 lbs,Georgia Tech,"$8,000,000"
Washington Wizards,Deni Avdija,9,SF,22,"6' 9""",210 lbs,--,"$6,263,188"
Washington Wizards,Patrick Baldwin Jr.,7,F,20,"6' 9""",220 lbs,Milwaukee,"$2,337,720"
Washington Wizards,Jared Butler,NA,SG,23,"6' 3""",193 lbs,Baylor,--
Washington Wizards,Xavier Cooks,12,G,28,"6' 8""",185 lbs,Winthrop,"$1,719,864"
Washington Wizards,Bilal Coulibaly,NA,SG,19,"6' 6""",195 lbs,--,"$6,614,280"
Washington Wizards,Johnny Davis,1,G,21,"6' 4""",195 lbs,Wisconsin,"$5,050,800"
Washington Wizards,Daniel Gafford,21,C,24,"6' 10""",234 lbs,Arkansas,"$12,402,000"
Washington Wizards,Danilo Gallinari,NA,PF,35,"6' 10""",236 lbs,--,"$6,802,950"
Washington Wizards,Taj Gibson,67,F,38,"6' 9""",232 lbs,USC,--
Washington Wizards,Anthony Gill,16,PF,30,"6' 8""",230 lbs,Virginia,"$1,997,239"
Washington Wizards,Tyus Jones,NA,PG,27,"6' 0""",196 lbs,Duke,"$14,000,000"
Washington Wizards,Corey Kispert,24,SF,24,"6' 6""",224 lbs,Gonzaga,"$3,722,040"
Washington Wizards,Kyle Kuzma,33,SF,28,"6' 9""",221 lbs,Utah,"$25,568,182"
Washington Wizards,Mike Muscala,NA,C,32,"6' 11""",240 lbs,Bucknell,"$3,500,000"
Washington Wizards,Kendrick Nunn,20,G,28,"6' 3""",190 lbs,Oakland,--
Washington Wizards,Eugene Omoruyi,NA,F,26,"6' 6""",235 lbs,Oregon,"$1,927,896"
Washington Wizards,Jordan Poole,3,SG,24,"6' 4""",194 lbs,Michigan,"$27,955,357"
Washington Wizards,Ryan Rollins,2,G,21,"6' 3""",180 lbs,Toledo,"$1,719,864"
Washington Wizards,Landry Shamet,NA,SG,26,"6' 4""",190 lbs,Wichita State,"$10,250,000"
Washington Wizards,Tristan Vukcevic,NA,PF,20,"7' 0""",225 lbs,--,--
Washington Wizards,Delon Wright,55,SG,31,"6' 5""",185 lbs,Utah,"$8,195,122"
